country,site,latlong,expenseGroup,expenseSubGroup,baseline
Australia,South Wharf,"-37.824997,144.951999",Reprographics & Stationery,8151 Stationery Management,151214
Australia,Claremont,"-31.981633,115.781288",Cleaning,1801 Interior - Pest Control,136373
Australia,Scoresby,"-37.898567,145.230362",Catering,8021 Canteen / Restaurant,135250
Australia,Port Melbourne,"-37.836926,144.94455",M&E Equipment,1300 Building R/M-HVAC Maint,131254
Australia,Claremont,"-31.981633,115.781288",M&E Equipment,1310 Central Plant Maintenance,129718
Thailand,Lad Krabang,"13.722049,100.784157","E, H, S & Q, compliance",8215 Env Health and Safety,123271
Thailand,Lad Krabang,"13.722049,100.784157",Building Fabric,1390 Water Treatment Services,120437
New Zealand,Dunedin,"-45.87876,170.502798",M&E Equipment,1600 Maint-Plumbing,118361
New Zealand,Dunedin,"-45.87876,170.502798",Building Fabric,1800 Int-Bldg Repair&Maint,117232
New Zealand,Dunedin,"-45.87876,170.502798",M&E Equipment,1180 Compressed Air System,114959
Australia,Claremont,"-31.981633,115.781288",M&E Equipment,1180 Compressed Air System,114854
Australia,Scoresby,"-37.898567,145.230362",Cleaning,0404 Laundry Services,114674
Thailand,Lad Krabang,"13.722049,100.784157",Security,4200 Security - Guards,107824
Australia,Claremont,"-31.981633,115.781288",Building Fabric,1800 Int-Bldg Repair&Maint,106200
New Zealand,Dunedin,"-45.87876,170.502798",Cleaning,0201 Cleaning (Interior),102123
Australia,Ringwood,"-37.814262,145.227386",Fire and Security Equipment,1700 Maint Fire/Life Safety,99883
New Zealand,Avondale,"-36.894517,174.696524",Cleaning,0310 Other Specialized Clng,98653
Australia,State Sales Offices,"-37.814107,144.96328",Cleaning,0301 Window Cleaning,98243
New Zealand,Avondale,"-36.894517,174.696524",Cleaning,0502 Trash Removal - Recycling,97999
India,Mumbai EC,"19.030029,72.861308",Cleaning,0502 Trash Removal - Recycling,97807
Singapore,Keppel Bay Towers,"1.352083,103.819836",Cleaning,0301 Window Cleaning,97807
Thailand,Lad Krabang,"13.722049,100.784157",Cleaning,0302 Carpet Cleaning,97807
Australia,State Sales Offices,"-37.814107,144.96328",Cleaning,0506 Trash Removal-Confidntl,97212
Australia,Ringwood,"-37.814262,145.227386",Building Fabric,1800 Int-Bldg Repair&Maint,97027
New Zealand,Avondale,"-36.894517,174.696524",Cleaning,0307 High Tech Cleaning,96583
Australia,Port Melbourne,"-37.836926,144.94455",Cleaning,0307 High Tech Cleaning,95658
Australia,Dandenong VDC,"-37.98746,145.214861",Cleaning,0401 Cleaning Supplies & Mats,93519
New Zealand,Avondale,"-36.894517,174.696524",Cleaning,0301 Window Cleaning,92005
Australia,Dandenong VDC,"-37.98746,145.214861",Cleaning,0201 Cleaning (Interior),91398
Australia,Port Melbourne,"-37.836926,144.94455",Cleaning,0500 Trash Removal,90998
New Zealand,Avondale,"-36.894517,174.696524",Cleaning,0302 Carpet Cleaning,90227
Australia,Ringwood,"-37.814262,145.227386",Cleaning,0307 High Tech Cleaning,89750
Australia,Port Melbourne,"-37.836926,144.94455",Building Fabric,1100 Building Maint Services,89603
New Zealand,Dunedin,"-45.87876,170.502798",Cleaning,0401 Cleaning Supplies & Mats,88950
Australia,State Sales Offices,"-37.814107,144.96328",Cleaning,0401 Cleaning Supplies & Mats,88012
Australia,Scoresby,"-37.898567,145.230362",Cleaning,0401 Cleaning Supplies & Mats,87104
Australia,South Wharf,"-37.824997,144.951999",Cleaning,0404 Laundry Services,86415
Australia,Scoresby,"-37.898567,145.230362",Cleaning,0302 Carpet Cleaning,85910
India,Baddi,"30.957826,76.791356",Cleaning,0311 External Area Cleaning,85780
Singapore,Jurong,"1.364434,103.775263",Cleaning,0301 Window Cleaning,85733
Singapore,Keppel Bay Towers,"1.352083,103.819836",Cleaning,0310 Other Specialized Clng,85733
Thailand,Lad Krabang,"13.722049,100.784157",Cleaning,0506 Trash Removal-Confidntl,85733
Australia,Claremont,"-31.981633,115.781288",Building Fabric,1201 Goods Elevator Maint,85601
Australia,State Sales Offices,"-37.814107,144.96328",Cleaning,0310 Other Specialized Clng,84677
New Zealand,Dunedin,"-45.87876,170.502798",Cleaning,0311 External Area Cleaning,84232
New Zealand,Auckland DC,"-36.84846,174.763332",Cleaning,0301 Window Cleaning,83276
Australia,Scoresby,"-37.898567,145.230362",M&E Equipment,1302 Building R/M-Boiler Maint,83109
Australia,Ringwood,"-37.814262,145.227386",M&E Equipment,1315 Refrigerator Sys Maint,82121
India,Mumbai EC,"19.030029,72.861308",Cleaning,0307 High Tech Cleaning,81285
Singapore,Jurong,"1.364434,103.775263",Cleaning,0502 Trash Removal - Recycling,81285
Singapore,Keppel Bay Towers,"1.352083,103.819836",Cleaning,0404 Laundry Services,81285
Australia,Ringwood,"-37.814262,145.227386",M&E Equipment,1300 Building R/M-HVAC Maint,81118
Australia,State Sales Offices,"-37.814107,144.96328",Cleaning,0311 External Area Cleaning,80772
Australia,Port Melbourne,"-37.836926,144.94455",Cleaning,0404 Laundry Services,80489
Australia,Ringwood,"-37.814262,145.227386",Grounds Maintenance,3100 Road/Ground-Landscaping,80479
Australia,Ringwood,"-37.814262,145.227386",Cleaning,0311 External Area Cleaning,80306
Australia,Port Melbourne,"-37.836926,144.94455",Cleaning,0310 Other Specialized Clng,79749
Australia,Dandenong VDC,"-37.98746,145.214861",FM management & administration,5000 Admin Support Services,77772
Australia,Ringwood,"-37.814262,145.227386",Cleaning,0302 Carpet Cleaning,77720
Australia,Ringwood,"-37.814262,145.227386",Cleaning,0502 Trash Removal - Recycling,77686
New Zealand,Avondale,"-36.894517,174.696524",Cleaning,0404 Laundry Services,77483
India,Baddi,"30.957826,76.791356",Cleaning,0307 High Tech Cleaning,75238
Australia,Ringwood,"-37.814262,145.227386",M&E Equipment,1400 Bldg R/M-Electrical Maint,74655
Australia,South Wharf,"-37.824997,144.951999",Document Management,8250 Records Mgt Services,74655
New Zealand,Auckland DC,"-36.84846,174.763332",Cleaning,0401 Cleaning Supplies & Mats,74431
Australia,Claremont,"-31.981633,115.781288",Cleaning,0302 Carpet Cleaning,73738
Australia,Dandenong VDC,"-37.98746,145.214861",Cleaning,0307 High Tech Cleaning,72972
Australia,Ringwood,"-37.814262,145.227386",Cleaning,0506 Trash Removal-Confidntl,72629
Australia,South Wharf,"-37.824997,144.951999",Cleaning,0502 Trash Removal - Recycling,72075
Australia,Dandenong VDC,"-37.98746,145.214861",Cleaning,0502 Trash Removal - Recycling,71722
New Zealand,Auckland DC,"-36.84846,174.763332",Cleaning,0311 External Area Cleaning,71246
Australia,State Sales Offices,"-37.814107,144.96328",Cleaning,0404 Laundry Services,71127
India,Mumbai EC,"19.030029,72.861308",Cleaning,0506 Trash Removal-Confidntl,68170
Singapore,Keppel Bay Towers,"1.352083,103.819836",Cleaning,0302 Carpet Cleaning,68170
Thailand,Lad Krabang,"13.722049,100.784157",Cleaning,0307 High Tech Cleaning,68170
Australia,Ringwood,"-37.814262,145.227386",M&E Equipment,1303 Building Chiller Maint,68120
New Zealand,Dunedin,"-45.87876,170.502798",Cleaning,0404 Laundry Services,68087
Australia,Scoresby,"-37.898567,145.230362",M&E Equipment,1180 Compressed Air System,67676
India,Baddi,"30.957826,76.791356",Cleaning,0502 Trash Removal - Recycling,66444
Australia,State Sales Offices,"-37.814107,144.96328",Cleaning,0201 Cleaning (Interior),66235
Australia,Port Melbourne,"-37.836926,144.94455",Building Fabric,1390 Water Treatment Services,65622
Australia,Dandenong VDC,"-37.98746,145.214861",Cleaning,0500 Trash Removal,65041
New Zealand,Auckland DC,"-36.84846,174.763332",Cleaning,1801 Interior - Pest Control,63838
Australia,Port Melbourne,"-37.836926,144.94455",M&E Equipment,1302 Building R/M-Boiler Maint,62803
New Zealand,Avondale,"-36.894517,174.696524",Cleaning,1801 Interior - Pest Control,62492
New Zealand,Dunedin,"-45.87876,170.502798",M&E Equipment,1400 Bldg R/M-Electrical Maint,62351
Australia,Claremont,"-31.981633,115.781288",Cleaning,0401 Cleaning Supplies & Mats,62237
Australia,Claremont,"-31.981633,115.781288",Cleaning,0307 High Tech Cleaning,61625
New Zealand,Auckland DC,"-36.84846,174.763332",Cleaning,0307 High Tech Cleaning,61572
Australia,Scoresby,"-37.898567,145.230362",Cleaning,0310 Other Specialized Clng,61239
Australia,Dandenong VDC,"-37.98746,145.214861",Cleaning,0506 Trash Removal-Confidntl,61178
Singapore,Jurong,"1.364434,103.775263",Security,4200 Security - Guards,60982
Singapore,Keppel Bay Towers,"1.352083,103.819836",Mail Room & Reception,5710 Reception Services,60925
Australia,Scoresby,"-37.898567,145.230362",M&E Equipment,1315 Refrigerator Sys Maint,60713
Australia,Ringwood,"-37.814262,145.227386",M&E Equipment,1349 Mechanical Systems Maint,60370
Australia,South Wharf,"-37.824997,144.951999",Cleaning,0301 Window Cleaning,59673
Australia,Port Melbourne,"-37.836926,144.94455",M&E Equipment,1315 Refrigerator Sys Maint,59446
New Zealand,Dunedin,"-45.87876,170.502798","E, H, S & Q, compliance",8215 Env Health and Safety,58988
New Zealand,Avondale,"-36.894517,174.696524",Cleaning,0506 Trash Removal-Confidntl,58496
New Zealand,Dunedin,"-45.87876,170.502798",Cleaning,0302 Carpet Cleaning,58224
India,Mumbai EC,"19.030029,72.861308",Cleaning,0500 Trash Removal,57943
Singapore,Keppel Bay Towers,"1.352083,103.819836",Cleaning,0311 External Area Cleaning,57943
Thailand,Lad Krabang,"13.722049,100.784157",Cleaning,0301 Window Cleaning,57943
Australia,State Sales Offices,"-37.814107,144.96328",Cleaning,0502 Trash Removal - Recycling,57746
Australia,Scoresby,"-37.898567,145.230362",Cleaning,0502 Trash Removal - Recycling,57643
New Zealand,Auckland DC,"-36.84846,174.763332",Security,4200 Security - Guards,56715
Australia,Scoresby,"-37.898567,145.230362",Cleaning,0301 Window Cleaning,55941
Australia,Scoresby,"-37.898567,145.230362",Cleaning,1801 Interior - Pest Control,55525
Australia,Ringwood,"-37.814262,145.227386",Building Fabric,1100 Building Maint Services,55434
Australia,Claremont,"-31.981633,115.781288",Mail Room & Reception,5710 Reception Services,54847
Australia,South Wharf,"-37.824997,144.951999",Cleaning,0506 Trash Removal-Confidntl,53196
Australia,Port Melbourne,"-37.836926,144.94455","E, H, S & Q, compliance",8215 Env Health and Safety,52863
Thailand,Lad Krabang,"13.722049,100.784157",Cleaning,0401 Cleaning Supplies & Mats,52784
Australia,Claremont,"-31.981633,115.781288",M&E Equipment,1315 Refrigerator Sys Maint,51427
Australia,Port Melbourne,"-37.836926,144.94455",Cleaning,0506 Trash Removal-Confidntl,51288
New Zealand,Dunedin,"-45.87876,170.502798",Building Fabric,1100 Building Maint Services,51100
Australia,State Sales Offices,"-37.814107,144.96328",Cleaning,1801 Interior - Pest Control,50082
New Zealand,Dunedin,"-45.87876,170.502798",Cleaning,0506 Trash Removal-Confidntl,49940
India,Baddi,"30.957826,76.791356",Cleaning,0302 Carpet Cleaning,49542
India,Baddi,"30.957826,76.791356",M&E Equipment,1600 Maint-Plumbing,49450
India,Mumbai EC,"19.030029,72.861308",M&E Equipment,1305 Bldg R/M-CntrlSys Maint,49225
Singapore,Keppel Bay Towers,"1.352083,103.819836",M&E Equipment,1802 Interior - Signage,48725
New Zealand,Dunedin,"-45.87876,170.502798",M&E Equipment,1302 Building R/M-Boiler Maint,48699
Thailand,Lad Krabang,"13.722049,100.784157",Building Fabric,1201 Goods Elevator Maint,48505
Australia,Ringwood,"-37.814262,145.227386",Catering,8024 Catering - Hospitality,48009
Australia,Scoresby,"-37.898567,145.230362",Cleaning,0311 External Area Cleaning,47814
Australia,State Sales Offices,"-37.814107,144.96328",M&E Equipment,8133 Maintenance Mgt System,47504
Australia,Dandenong VDC,"-37.98746,145.214861",M&E Equipment,1305 Bldg R/M-CntrlSys Maint,47335
Australia,Claremont,"-31.981633,115.781288",Cleaning,0301 Window Cleaning,47322
Australia,State Sales Offices,"-37.814107,144.96328",M&E Equipment,1440 Communications Sys Maint,47104
New Zealand,Avondale,"-36.894517,174.696524",M&E Equipment,1315 Refrigerator Sys Maint,47030
Australia,Scoresby,"-37.898567,145.230362",Cleaning,0506 Trash Removal-Confidntl,46980
Australia,Scoresby,"-37.898567,145.230362",M&E Equipment,1305 Bldg R/M-CntrlSys Maint,46695
New Zealand,Dunedin,"-45.87876,170.502798",M&E Equipment,1906 Appliance Maint&Testing,46308
New Zealand,Auckland DC,"-36.84846,174.763332",M&E Equipment,1305 Bldg R/M-CntrlSys Maint,46211
Australia,Ringwood,"-37.814262,145.227386",M&E Equipment,1600 Maint-Plumbing,45942
India,Mumbai EC,"19.030029,72.861308",M&E Equipment,1906 Appliance Maint&Testing,45695
Singapore,Jurong,"1.364434,103.775263",M&E Equipment,8133 Maintenance Mgt System,45657
Australia,Dandenong VDC,"-37.98746,145.214861",Cleaning,0404 Laundry Services,45617
New Zealand,Auckland DC,"-36.84846,174.763332",M&E Equipment,1303 Building Chiller Maint,45617
Australia,State Sales Offices,"-37.814107,144.96328",M&E Equipment,1315 Refrigerator Sys Maint,45606
Singapore,Keppel Bay Towers,"1.352083,103.819836",Cleaning,0201 Cleaning (Interior),45559
Australia,Dandenong VDC,"-37.98746,145.214861",M&E Equipment,1301 Ventilation System Maint,45178
New Zealand,Avondale,"-36.894517,174.696524",M&E Equipment,1802 Interior - Signage,45059
New Zealand,Dunedin,"-45.87876,170.502798",Cleaning,0500 Trash Removal,44929
Australia,South Wharf,"-37.824997,144.951999",M&E Equipment,1906 Appliance Maint&Testing,44662
New Zealand,Avondale,"-36.894517,174.696524",Cleaning,0500 Trash Removal,44577
New Zealand,Dunedin,"-45.87876,170.502798",M&E Equipment,1315 Refrigerator Sys Maint,44383
Singapore,Jurong,"1.364434,103.775263",M&E Equipment,1440 Communications Sys Maint,44096
New Zealand,Auckland DC,"-36.84846,174.763332",M&E Equipment,1306 Lighting Cntrl Sys Maint,44029
Australia,Ringwood,"-37.814262,145.227386",M&E Equipment,8133 Maintenance Mgt System,44005
Singapore,Keppel Bay Towers,"1.352083,103.819836",M&E Equipment,1302 Building R/M-Boiler Maint,43911
Australia,Ringwood,"-37.814262,145.227386",M&E Equipment,1802 Interior - Signage,43890
Australia,Claremont,"-31.981633,115.781288",M&E Equipment,1349 Mechanical Systems Maint,43816
Singapore,Keppel Bay Towers,"1.352083,103.819836",M&E Equipment,1305 Bldg R/M-CntrlSys Maint,43785
New Zealand,Avondale,"-36.894517,174.696524",M&E Equipment,1305 Bldg R/M-CntrlSys Maint,43604
Australia,South Wharf,"-37.824997,144.951999",M&E Equipment,1302 Building R/M-Boiler Maint,43304
Australia,Dandenong VDC,"-37.98746,145.214861",M&E Equipment,1906 Appliance Maint&Testing,43202
Australia,State Sales Offices,"-37.814107,144.96328",M&E Equipment,1303 Building Chiller Maint,42908
New Zealand,Avondale,"-36.894517,174.696524",M&E Equipment,1306 Lighting Cntrl Sys Maint,42537
Australia,Ringwood,"-37.814262,145.227386",M&E Equipment,1180 Compressed Air System,42229
Singapore,Keppel Bay Towers,"1.352083,103.819836",M&E Equipment,1180 Compressed Air System,42156
Australia,South Wharf,"-37.824997,144.951999",M&E Equipment,1305 Bldg R/M-CntrlSys Maint,41921
Australia,Dandenong VDC,"-37.98746,145.214861",Cleaning,0311 External Area Cleaning,41893
Australia,South Wharf,"-37.824997,144.951999",Cleaning,0500 Trash Removal,41442
New Zealand,Avondale,"-36.894517,174.696524",M&E Equipment,1906 Appliance Maint&Testing,41303
Australia,South Wharf,"-37.824997,144.951999",M&E Equipment,1310 Central Plant Maintenance,41214
New Zealand,Avondale,"-36.894517,174.696524",M&E Equipment,1400 Bldg R/M-Electrical Maint,41179
India,Mumbai EC,"19.030029,72.861308",Cleaning,0404 Laundry Services,41152
Singapore,Keppel Bay Towers,"1.352083,103.819836",Cleaning,0307 High Tech Cleaning,41152
Thailand,Lad Krabang,"13.722049,100.784157",Cleaning,0500 Trash Removal,41152
Australia,Ringwood,"-37.814262,145.227386",M&E Equipment,1431 UPS System Maintenance,41023
New Zealand,Auckland DC,"-36.84846,174.763332",Cleaning,0502 Trash Removal - Recycling,40993
Singapore,Jurong,"1.364434,103.775263",Cleaning,0404 Laundry Services,40956
Singapore,Keppel Bay Towers,"1.352083,103.819836",M&E Equipment,1906 Appliance Maint&Testing,40784
Thailand,Lad Krabang,"13.722049,100.784157",M&E Equipment,1302 Building R/M-Boiler Maint,40427
Australia,South Wharf,"-37.824997,144.951999",M&E Equipment,1802 Interior - Signage,40335
Australia,Dandenong VDC,"-37.98746,145.214861",Cleaning,1801 Interior - Pest Control,40061
Australia,Port Melbourne,"-37.836926,144.94455",Building Fabric,1850 Ext-Building Repair&Maint,39974
Australia,Ringwood,"-37.814262,145.227386",M&E Equipment,1301 Ventilation System Maint,39797
India,Baddi,"30.957826,76.791356",M&E Equipment,1310 Central Plant Maintenance,39717
Australia,South Wharf,"-37.824997,144.951999",M&E Equipment,1400 Bldg R/M-Electrical Maint,39657
Australia,Dandenong VDC,"-37.98746,145.214861",M&E Equipment,1306 Lighting Cntrl Sys Maint,39301
India,Mumbai EC,"19.030029,72.861308",M&E Equipment,1180 Compressed Air System,39214
Australia,State Sales Offices,"-37.814107,144.96328",M&E Equipment,1431 UPS System Maintenance,39128
Australia,Dandenong VDC,"-37.98746,145.214861",M&E Equipment,1300 Building R/M-HVAC Maint,39099
New Zealand,Dunedin,"-45.87876,170.502798",M&E Equipment,1431 UPS System Maintenance,39031
New Zealand,Avondale,"-36.894517,174.696524",M&E Equipment,1302 Building R/M-Boiler Maint,38907
Australia,Port Melbourne,"-37.836926,144.94455",Cleaning,1801 Interior - Pest Control,38820
Australia,Dandenong VDC,"-37.98746,145.214861",M&E Equipment,1310 Central Plant Maintenance,38542
India,Mumbai EC,"19.030029,72.861308",M&E Equipment,8133 Maintenance Mgt System,38357
New Zealand,Dunedin,"-45.87876,170.502798",M&E Equipment,1310 Central Plant Maintenance,38091
Singapore,Keppel Bay Towers,"1.352083,103.819836",M&E Equipment,8133 Maintenance Mgt System,38032
Australia,State Sales Offices,"-37.814107,144.96328",M&E Equipment,1302 Building R/M-Boiler Maint,37887
Thailand,Lad Krabang,"13.722049,100.784157",M&E Equipment,1180 Compressed Air System,37660
India,Baddi,"30.957826,76.791356",Cleaning,0301 Window Cleaning,37536
Australia,Port Melbourne,"-37.836926,144.94455",Cleaning,0401 Cleaning Supplies & Mats,37240
Australia,Ringwood,"-37.814262,145.227386",Cleaning,0301 Window Cleaning,37045
Thailand,Lad Krabang,"13.722049,100.784157",M&E Equipment,1600 Maint-Plumbing,36801
India,Baddi,"30.957826,76.791356",Cleaning,0506 Trash Removal-Confidntl,36604
India,Baddi,"30.957826,76.791356",M&E Equipment,1302 Building R/M-Boiler Maint,36533
Thailand,Lad Krabang,"13.722049,100.784157",M&E Equipment,1400 Bldg R/M-Electrical Maint,36429
Australia,South Wharf,"-37.824997,144.951999",Security,4300 Security - Monitoring,36353
India,Baddi,"30.957826,76.791356",M&E Equipment,1440 Communications Sys Maint,36258
Singapore,Jurong,"1.364434,103.775263",Cleaning,0201 Cleaning (Interior),36146
Australia,Scoresby,"-37.898567,145.230362",Fire and Security Equipment,1700 Maint Fire/Life Safety,35999
Australia,Claremont,"-31.981633,115.781288",Fire and Security Equipment,1700 Maint Fire/Life Safety,35898
India,Baddi,"30.957826,76.791356",M&E Equipment,1802 Interior - Signage,35568
Thailand,Lad Krabang,"13.722049,100.784157",M&E Equipment,1301 Ventilation System Maint,35462
Australia,Ringwood,"-37.814262,145.227386",M&E Equipment,1440 Communications Sys Maint,35362
Australia,Dandenong VDC,"-37.98746,145.214861",M&E Equipment,1303 Building Chiller Maint,35353
Australia,South Wharf,"-37.824997,144.951999",Cleaning,0310 Other Specialized Clng,35262
India,Mumbai EC,"19.030029,72.861308",M&E Equipment,1400 Bldg R/M-Electrical Maint,35257
New Zealand,Avondale,"-36.894517,174.696524",Cleaning,0201 Cleaning (Interior),35013
Singapore,Jurong,"1.364434,103.775263",Cleaning,1801 Interior - Pest Control,34987
Thailand,Lad Krabang,"13.722049,100.784157",M&E Equipment,1349 Mechanical Systems Maint,34956
Australia,State Sales Offices,"-37.814107,144.96328",Cleaning,0302 Carpet Cleaning,34867
New Zealand,Auckland DC,"-36.84846,174.763332",Cleaning,0404 Laundry Services,34819
Australia,Port Melbourne,"-37.836926,144.94455",M&E Equipment,8133 Maintenance Mgt System,34558
New Zealand,Auckland DC,"-36.84846,174.763332",M&E Equipment,1802 Interior - Signage,34460
Singapore,Keppel Bay Towers,"1.352083,103.819836",M&E Equipment,1431 UPS System Maintenance,34213
Thailand,Lad Krabang,"13.722049,100.784157",M&E Equipment,1440 Communications Sys Maint,34151
Singapore,Keppel Bay Towers,"1.352083,103.819836",Building Fabric,1100 Building Maint Services,34011
Australia,State Sales Offices,"-37.814107,144.96328",M&E Equipment,1802 Interior - Signage,33886
Australia,State Sales Offices,"-37.814107,144.96328",FM management & administration,5000 Admin Support Services,33490
Australia,Ringwood,"-37.814262,145.227386",M&E Equipment,1305 Bldg R/M-CntrlSys Maint,33432
India,Baddi,"30.957826,76.791356",M&E Equipment,1303 Building Chiller Maint,33399
Australia,Claremont,"-31.981633,115.781288",M&E Equipment,1440 Communications Sys Maint,33085
Australia,South Wharf,"-37.824997,144.951999",M&E Equipment,1301 Ventilation System Maint,32684
India,Baddi,"30.957826,76.791356",M&E Equipment,1315 Refrigerator Sys Maint,32570
Australia,South Wharf,"-37.824997,144.951999",M&E Equipment,1349 Mechanical Systems Maint,32282
Australia,Dandenong VDC,"-37.98746,145.214861",M&E Equipment,1180 Compressed Air System,32246
New Zealand,Avondale,"-36.894517,174.696524",M&E Equipment,1303 Building Chiller Maint,32219
New Zealand,Dunedin,"-45.87876,170.502798",M&E Equipment,1305 Bldg R/M-CntrlSys Maint,32190
India,Mumbai EC,"19.030029,72.861308",M&E Equipment,1600 Maint-Plumbing,31881
Australia,Scoresby,"-37.898567,145.230362",Building Fabric,1390 Water Treatment Services,31748
Australia,South Wharf,"-37.824997,144.951999",Cleaning,0401 Cleaning Supplies & Mats,31607
New Zealand,Dunedin,"-45.87876,170.502798",Cleaning,0310 Other Specialized Clng,31603
New Zealand,Auckland DC,"-36.84846,174.763332",M&E Equipment,1302 Building R/M-Boiler Maint,31505
Australia,Ringwood,"-37.814262,145.227386",Cleaning,0310 Other Specialized Clng,31502
Singapore,Keppel Bay Towers,"1.352083,103.819836",M&E Equipment,1310 Central Plant Maintenance,31404
India,Mumbai EC,"19.030029,72.861308",M&E Equipment,1315 Refrigerator Sys Maint,31395
Australia,Scoresby,"-37.898567,145.230362",M&E Equipment,1440 Communications Sys Maint,31342
Australia,Claremont,"-31.981633,115.781288",M&E Equipment,1802 Interior - Signage,31286
Australia,Scoresby,"-37.898567,145.230362",Building Fabric,1500 Maint-Strct/Roof,31172
New Zealand,Dunedin,"-45.87876,170.502798",Catering,8024 Catering - Hospitality,30909
New Zealand,Dunedin,"-45.87876,170.502798",Fire and Security Equipment,1700 Maint Fire/Life Safety,30834
Singapore,Keppel Bay Towers,"1.352083,103.819836",Grounds Maintenance,1804 Interior - Plants,30780
New Zealand,Auckland DC,"-36.84846,174.763332",M&E Equipment,1906 Appliance Maint&Testing,30712
Australia,Port Melbourne,"-37.836926,144.94455",M&E Equipment,1305 Bldg R/M-CntrlSys Maint,30135
Singapore,Jurong,"1.364434,103.775263",FM management & administration,5700 Other Admin Expenses,30061
India,Baddi,"30.957826,76.791356",M&E Equipment,1400 Bldg R/M-Electrical Maint,29971
Australia,Claremont,"-31.981633,115.781288",M&E Equipment,1400 Bldg R/M-Electrical Maint,29939
Australia,Scoresby,"-37.898567,145.230362",M&E Equipment,8133 Maintenance Mgt System,29709
New Zealand,Dunedin,"-45.87876,170.502798","E, H, S & Q, compliance",8218 Health and Safety Srvcs,29632
Singapore,Keppel Bay Towers,"1.352083,103.819836",M&E Equipment,1303 Building Chiller Maint,29598
Australia,State Sales Offices,"-37.814107,144.96328",M&E Equipment,1349 Mechanical Systems Maint,29440
Australia,Port Melbourne,"-37.836926,144.94455",M&E Equipment,1180 Compressed Air System,29263
New Zealand,Auckland DC,"-36.84846,174.763332",Cleaning,0506 Trash Removal-Confidntl,28963
Thailand,Lad Krabang,"13.722049,100.784157",Fire and Security Equipment,1700 Maint Fire/Life Safety,28882
Australia,Scoresby,"-37.898567,145.230362",M&E Equipment,1349 Mechanical Systems Maint,28820
New Zealand,Avondale,"-36.894517,174.696524",M&E Equipment,1300 Building R/M-HVAC Maint,28556
Australia,State Sales Offices,"-37.814107,144.96328",Cleaning,0307 High Tech Cleaning,28487
Australia,Claremont,"-31.981633,115.781288",M&E Equipment,1305 Bldg R/M-CntrlSys Maint,28364
New Zealand,Avondale,"-36.894517,174.696524",M&E Equipment,1310 Central Plant Maintenance,28256
Singapore,Keppel Bay Towers,"1.352083,103.819836",M&E Equipment,1306 Lighting Cntrl Sys Maint,28180
Australia,Claremont,"-31.981633,115.781288",M&E Equipment,1302 Building R/M-Boiler Maint,28059
Australia,Dandenong VDC,"-37.98746,145.214861",Cleaning,0310 Other Specialized Clng,27691
Australia,Dandenong VDC,"-37.98746,145.214861",M&E Equipment,1315 Refrigerator Sys Maint,27689
Australia,South Wharf,"-37.824997,144.951999",M&E Equipment,1300 Building R/M-HVAC Maint,27656
New Zealand,Dunedin,"-45.87876,170.502798",Building Fabric,1850 Ext-Building Repair&Maint,27626
Australia,South Wharf,"-37.824997,144.951999",Cleaning,0307 High Tech Cleaning,27423
Australia,Dandenong VDC,"-37.98746,145.214861",M&E Equipment,1802 Interior - Signage,26712
New Zealand,Auckland DC,"-36.84846,174.763332",Cleaning,0201 Cleaning (Interior),26698
Australia,State Sales Offices,"-37.814107,144.96328",M&E Equipment,1180 Compressed Air System,26451
Thailand,Lad Krabang,"13.722049,100.784157",M&E Equipment,1315 Refrigerator Sys Maint,26382
New Zealand,Avondale,"-36.894517,174.696524",M&E Equipment,1180 Compressed Air System,26295
India,Mumbai EC,"19.030029,72.861308",Cleaning,0310 Other Specialized Clng,26248
Singapore,Jurong,"1.364434,103.775263",Cleaning,0506 Trash Removal-Confidntl,26248
Thailand,Lad Krabang,"13.722049,100.784157",Cleaning,0311 External Area Cleaning,26248
India,Baddi,"30.957826,76.791356",M&E Equipment,1301 Ventilation System Maint,26237
Australia,Dandenong VDC,"-37.98746,145.214861",M&E Equipment,1302 Building R/M-Boiler Maint,26182
India,Mumbai EC,"19.030029,72.861308",Cleaning,0302 Carpet Cleaning,25995
Singapore,Jurong,"1.364434,103.775263",Cleaning,0310 Other Specialized Clng,25995
Singapore,Keppel Bay Towers,"1.352083,103.819836",Cleaning,0502 Trash Removal - Recycling,25995
Australia,State Sales Offices,"-37.814107,144.96328",M&E Equipment,1306 Lighting Cntrl Sys Maint,25858
Australia,Claremont,"-31.981633,115.781288",M&E Equipment,1906 Appliance Maint&Testing,25833
India,Baddi,"30.957826,76.791356",Building Fabric,1390 Water Treatment Services,25686
India,Mumbai EC,"19.030029,72.861308",M&E Equipment,1306 Lighting Cntrl Sys Maint,25680
Australia,State Sales Offices,"-37.814107,144.96328",M&E Equipment,1305 Bldg R/M-CntrlSys Maint,25665
Australia,State Sales Offices,"-37.814107,144.96328",M&E Equipment,1301 Ventilation System Maint,25623
India,Mumbai EC,"19.030029,72.861308",Cleaning,0301 Window Cleaning,25487
Thailand,Lad Krabang,"13.722049,100.784157",M&E Equipment,1431 UPS System Maintenance,25482
New Zealand,Dunedin,"-45.87876,170.502798",M&E Equipment,1802 Interior - Signage,25276
Singapore,Jurong,"1.364434,103.775263",Cleaning,0311 External Area Cleaning,25098
Singapore,Keppel Bay Towers,"1.352083,103.819836",Cleaning,0401 Cleaning Supplies & Mats,25098
