country,site,latlong,expenseGroup,expenseSubGroup,baseline
Australia,State Sales Offices,"-37.814107,144.96328",Utilities,2006 Utilities - Water,9968
Australia,State Sales Offices,"-37.814107,144.96328",Utilities,2007 Utilities - Sewer,7032
New Zealand,Dunedin,"-45.87876,170.502798",Security,4410 Secty-Eqpt CCTV Maint,56774
New Zealand,Dunedin,"-45.87876,170.502798",Reprographics & Stationery,8151 Stationery Management,22675
New Zealand,Dunedin,"-45.87876,170.502798",Reprographics & Stationery,8221 Print/Paper Supply,12975
New Zealand,Dunedin,"-45.87876,170.502798",Reprographics & Stationery,8222 Central Reprographics,52402
New Zealand,Dunedin,"-45.87876,170.502798",Utilities,2001 Utilities - Electrical,32517
New Zealand,Dunedin,"-45.87876,170.502798",Utilities,2002 Utilities - Gas,5768
New Zealand,Dunedin,"-45.87876,170.502798",Utilities,2003 Utilities - Fuel Oil,37034
New Zealand,Dunedin,"-45.87876,170.502798",Utilities,2004 Utilities - Steam,19685
New Zealand,Dunedin,"-45.87876,170.502798",Utilities,2006 Utilities - Water,50024
New Zealand,Dunedin,"-45.87876,170.502798",Utilities,2007 Utilities - Sewer,52551
New Zealand,Auckland DC,"-36.84846,174.763332",Security,4100 Secty-Fence&Barriers,22220
New Zealand,Auckland DC,"-36.84846,174.763332",Security,4202 Secty-Emergency Planning,24055
New Zealand,Auckland DC,"-36.84846,174.763332",Security,4203 Secty-Lock & Key Controls,31594
New Zealand,Auckland DC,"-36.84846,174.763332",Security,4300 Security - Monitoring,22390
New Zealand,Auckland DC,"-36.84846,174.763332",Security,4410 Secty-Eqpt CCTV Maint,21133
New Zealand,Auckland DC,"-36.84846,174.763332",Reprographics & Stationery,8151 Stationery Management,6281
New Zealand,Auckland DC,"-36.84846,174.763332",Reprographics & Stationery,8221 Print/Paper Supply,13143
New Zealand,Auckland DC,"-36.84846,174.763332",Reprographics & Stationery,8222 Central Reprographics,52100
New Zealand,Auckland DC,"-36.84846,174.763332",Utilities,2001 Utilities - Electrical,52011
New Zealand,Auckland DC,"-36.84846,174.763332",Utilities,2002 Utilities - Gas,40259
New Zealand,Auckland DC,"-36.84846,174.763332",Utilities,2003 Utilities - Fuel Oil,48138
New Zealand,Auckland DC,"-36.84846,174.763332",Utilities,2004 Utilities - Steam,32540
New Zealand,Auckland DC,"-36.84846,174.763332",Utilities,2006 Utilities - Water,7531
New Zealand,Auckland DC,"-36.84846,174.763332",Utilities,2007 Utilities - Sewer,26720
New Zealand,Avondale,"-36.894517,174.696524",Security,4200 Security - Guards,34206
New Zealand,Avondale,"-36.894517,174.696524",Security,4100 Secty-Fence&Barriers,40091
New Zealand,Avondale,"-36.894517,174.696524",Security,4202 Secty-Emergency Planning,52123
New Zealand,Avondale,"-36.894517,174.696524",Security,4203 Secty-Lock & Key Controls,9372
New Zealand,Avondale,"-36.894517,174.696524",Security,4410 Secty-Eqpt CCTV Maint,44707
New Zealand,Avondale,"-36.894517,174.696524",Reprographics & Stationery,8151 Stationery Management,15482
New Zealand,Avondale,"-36.894517,174.696524",Reprographics & Stationery,8221 Print/Paper Supply,45303
New Zealand,Avondale,"-36.894517,174.696524",Reprographics & Stationery,8222 Central Reprographics,6690
New Zealand,Avondale,"-36.894517,174.696524",Utilities,2001 Utilities - Electrical,48892
New Zealand,Avondale,"-36.894517,174.696524",Utilities,2002 Utilities - Gas,46836
New Zealand,Avondale,"-36.894517,174.696524",Utilities,2003 Utilities - Fuel Oil,18674
New Zealand,Avondale,"-36.894517,174.696524",Utilities,2004 Utilities - Steam,21239
New Zealand,Avondale,"-36.894517,174.696524",Utilities,2006 Utilities - Water,47329
New Zealand,Avondale,"-36.894517,174.696524",Utilities,2007 Utilities - Sewer,33803
India,Baddi,"30.957826,76.791356",Security,4200 Security - Guards,16693
India,Baddi,"30.957826,76.791356",Security,4100 Secty-Fence&Barriers,7433
India,Baddi,"30.957826,76.791356",Security,4202 Secty-Emergency Planning,27080
India,Baddi,"30.957826,76.791356",Security,4203 Secty-Lock & Key Controls,54492
India,Baddi,"30.957826,76.791356",Security,4300 Security - Monitoring,30487
India,Baddi,"30.957826,76.791356",Security,4410 Secty-Eqpt CCTV Maint,26203
India,Baddi,"30.957826,76.791356",Reprographics & Stationery,8151 Stationery Management,27788
India,Baddi,"30.957826,76.791356",Utilities,2001 Utilities - Electrical,16514
India,Baddi,"30.957826,76.791356",Utilities,2002 Utilities - Gas,10889
India,Baddi,"30.957826,76.791356",Utilities,2003 Utilities - Fuel Oil,15939
India,Baddi,"30.957826,76.791356",Utilities,2004 Utilities - Steam,34195
India,Baddi,"30.957826,76.791356",Utilities,2006 Utilities - Water,51334
India,Baddi,"30.957826,76.791356",Utilities,2007 Utilities - Sewer,47580
India,Mumbai EC,"19.030029,72.861308",Security,4200 Security - Guards,11908
India,Mumbai EC,"19.030029,72.861308",Security,4100 Secty-Fence&Barriers,39546
India,Mumbai EC,"19.030029,72.861308",Security,4202 Secty-Emergency Planning,17219
India,Mumbai EC,"19.030029,72.861308",Security,4203 Secty-Lock & Key Controls,13348
India,Mumbai EC,"19.030029,72.861308",Security,4300 Security - Monitoring,56165
India,Mumbai EC,"19.030029,72.861308",Security,4410 Secty-Eqpt CCTV Maint,29580
India,Mumbai EC,"19.030029,72.861308",Reprographics & Stationery,8151 Stationery Management,23446
India,Mumbai EC,"19.030029,72.861308",Reprographics & Stationery,8221 Print/Paper Supply,12992
India,Mumbai EC,"19.030029,72.861308",Reprographics & Stationery,8222 Central Reprographics,39244
India,Mumbai EC,"19.030029,72.861308",Utilities,2001 Utilities - Electrical,26839
India,Mumbai EC,"19.030029,72.861308",Utilities,2002 Utilities - Gas,57046
India,Mumbai EC,"19.030029,72.861308",Utilities,2003 Utilities - Fuel Oil,6596
India,Mumbai EC,"19.030029,72.861308",Utilities,2004 Utilities - Steam,8089
India,Mumbai EC,"19.030029,72.861308",Utilities,2006 Utilities - Water,18152
India,Mumbai EC,"19.030029,72.861308",Utilities,2007 Utilities - Sewer,51980
Singapore,Jurong,"1.364434,103.775263",Security,4100 Secty-Fence&Barriers,22622
Singapore,Jurong,"1.364434,103.775263",Security,4202 Secty-Emergency Planning,20302
Singapore,Jurong,"1.364434,103.775263",Security,4300 Security - Monitoring,54456
Singapore,Jurong,"1.364434,103.775263",Security,4410 Secty-Eqpt CCTV Maint,31065
Singapore,Jurong,"1.364434,103.775263",Reprographics & Stationery,8221 Print/Paper Supply,39014
Singapore,Jurong,"1.364434,103.775263",Reprographics & Stationery,8222 Central Reprographics,24453
Singapore,Jurong,"1.364434,103.775263",Utilities,2001 Utilities - Electrical,23060
Singapore,Jurong,"1.364434,103.775263",Utilities,2002 Utilities - Gas,21493
Singapore,Jurong,"1.364434,103.775263",Utilities,2003 Utilities - Fuel Oil,17452
Singapore,Jurong,"1.364434,103.775263",Utilities,2004 Utilities - Steam,58445
Singapore,Jurong,"1.364434,103.775263",Utilities,2006 Utilities - Water,5969
Singapore,Jurong,"1.364434,103.775263",Utilities,2007 Utilities - Sewer,22266
Singapore,Keppel Bay Towers,"1.352083,103.819836",Security,4200 Security - Guards,35092
Singapore,Keppel Bay Towers,"1.352083,103.819836",Security,4100 Secty-Fence&Barriers,32114
Singapore,Keppel Bay Towers,"1.352083,103.819836",Security,4202 Secty-Emergency Planning,10791
Singapore,Keppel Bay Towers,"1.352083,103.819836",Security,4203 Secty-Lock & Key Controls,46272
Singapore,Keppel Bay Towers,"1.352083,103.819836",Security,4300 Security - Monitoring,14205
Singapore,Keppel Bay Towers,"1.352083,103.819836",Security,4410 Secty-Eqpt CCTV Maint,6664
Singapore,Keppel Bay Towers,"1.352083,103.819836",Utilities,2001 Utilities - Electrical,53987
Singapore,Keppel Bay Towers,"1.352083,103.819836",Utilities,2002 Utilities - Gas,30477
Singapore,Keppel Bay Towers,"1.352083,103.819836",Utilities,2003 Utilities - Fuel Oil,31559
Singapore,Keppel Bay Towers,"1.352083,103.819836",Utilities,2004 Utilities - Steam,26856
Singapore,Keppel Bay Towers,"1.352083,103.819836",Utilities,2006 Utilities - Water,56653
Singapore,Keppel Bay Towers,"1.352083,103.819836",Utilities,2007 Utilities - Sewer,16641
Thailand,Lad Krabang,"13.722049,100.784157",Security,4100 Secty-Fence&Barriers,31890
Thailand,Lad Krabang,"13.722049,100.784157",Security,4202 Secty-Emergency Planning,20818
Thailand,Lad Krabang,"13.722049,100.784157",Security,4203 Secty-Lock & Key Controls,47029
Thailand,Lad Krabang,"13.722049,100.784157",Security,4300 Security - Monitoring,55221
Thailand,Lad Krabang,"13.722049,100.784157",Security,4410 Secty-Eqpt CCTV Maint,20265
Thailand,Lad Krabang,"13.722049,100.784157",Reprographics & Stationery,8151 Stationery Management,7931
Thailand,Lad Krabang,"13.722049,100.784157",Reprographics & Stationery,8221 Print/Paper Supply,6022
Thailand,Lad Krabang,"13.722049,100.784157",Reprographics & Stationery,8222 Central Reprographics,33635
Thailand,Lad Krabang,"13.722049,100.784157",Utilities,2001 Utilities - Electrical,9968
Thailand,Lad Krabang,"13.722049,100.784157",Utilities,2002 Utilities - Gas,7032
Thailand,Lad Krabang,"13.722049,100.784157",Utilities,2003 Utilities - Fuel Oil,56774
Thailand,Lad Krabang,"13.722049,100.784157",Utilities,2004 Utilities - Steam,22675
Thailand,Lad Krabang,"13.722049,100.784157",Utilities,2006 Utilities - Water,12975
Thailand,Lad Krabang,"13.722049,100.784157",Utilities,2007 Utilities - Sewer,52402
